source_kind	component_section_id	component_name	ie_name	component_kind	usage_or_type	path_signature	tag_text	tag_value	condition_program_index	condition_text
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				62	contrast media were applied
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	Image	module	C				64	respiratory synchronization was applied
component_usage	sect_C.7.6.18.3	Bulk Motion Synchronization	Image	module	C				65	bulk motion synchronization was applied
component_usage	sect_C.7.6.22	Specimen	Image	module	C				34	Imaging Subject is a specimen
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				86	contrast media was applied
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	Image	module	C				64	respiratory synchronization was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.5	Referenced Image		functional_group	C				87	the image or Frame has been planned on another image or Frame, may be present otherwise
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
component_usage	sect_C.8.15.3.13	Multi-energy CT Processing		functional_group	C				94	the image pixel data contains the results of Multi-energy material processing
component_usage	sect_C.7.6.4	Contrast/Bolus	Image	module	C				10	contrast media was used in this image
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				95	contrast was administered, see
component_usage	sect_C.7.6.5	Cine	Image	module	C				96	there is a sequential temporal relationship between all Frames
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				97	contrast was administered
component_usage	sect_C.7.6.5	Cine	Image	module	C				96	there is a sequential temporal relationship between all Frames
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				99	contrast media was applied and the system is able to register contrast usage
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	Image	module	C				64	respiratory synchronization was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
component_usage	sect_C.7.6.16.2.12	Contrast/Bolus Usage		functional_group	C				106	the is present
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				99	contrast media was applied and the system is able to register contrast usage
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	Image	module	C				64	respiratory synchronization was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
