uid_value	sop_class_name	sop_class_keyword	iod_xml_id	iod_title	part04_section_id	retired
1.2.840.10008.5.1.4.1.1.88.11	Basic Text SR Storage	BasicTextSRStorage	sect_A.35.1	Basic Text SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.22	Enhanced SR Storage	EnhancedSRStorage	sect_A.35.2	Enhanced SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.33	Comprehensive SR Storage	ComprehensiveSRStorage	sect_A.35.3	Comprehensive SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.34	Comprehensive 3D SR Storage	Comprehensive3DSRStorage	sect_A.35.13	Comprehensive 3D SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.35	Extensible SR Storage	ExtensibleSRStorage	sect_A.35.15	Extensible SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.40	Procedure Log Storage	ProcedureLogStorage	sect_A.35.7	Procedure Log IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.50	Mammography CAD SR Storage	MammographyCADSRStorage	sect_A.35.5	Mammography CAD SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.59	Key Object Selection Document Storage	KeyObjectSelectionDocumentStorage	sect_A.35.4	Key Object Selection Document IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.65	Chest CAD SR Storage	ChestCADSRStorage	sect_A.35.6	Chest CAD SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.67	X-Ray Radiation Dose SR Storage	XRayRadiationDoseSRStorage	sect_A.35.8	X-Ray Radiation Dose SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.68	Radiopharmaceutical Radiation Dose SR Storage	RadiopharmaceuticalRadiationDoseSRStorage	sect_A.35.14	Radiopharmaceutical Radiation Dose SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.69	Colon CAD SR Storage	ColonCADSRStorage	sect_A.35.10	Colon CAD SR IOD	sect_B.5	N
